text,source,label
"Make Sure to <b>Turn On Notifications</b> for Our New <b>Long Form Content</b>  and <b>Subscribe</b> to Law By Mike For More Tips! <a href=""https://go.lawbymike.com/YT"">https://go.lawbymike.com/YT</a>",youtube,
"i don&#39;t think some of the tips helped, especially the ignore and block and report part, sometimes reporting just doesn&#39;t do anything and youtube doesn&#39;t really care about the bullying, not a school situation for me tho, sometimes the only way to get rid of a bully online is to either take legal action if your safety is at risk or block them, or just do both, thats what i would&#39;ve done in my current situation atm",youtube,
bro lawbymike comes in clutch,youtube,
YouTube doesn&#39;t protect me. They help the bullies over me.,youtube,
I have screenshots.,youtube,
Cyberbully is bad. I caught someone saying haha and hate in West Malaysia Driving and I report him on roblox and kind of Similar to cyberbully,youtube,
Well thank you Mike because nadcapcut was cyberbullying calling me blind i was telling him he was off topic,youtube,
"You could use inspect element on PC, and Inspect Element makes them say horrible things, and if you screenshot them, there you go, you just made someone get arrested, big time",youtube,
JUST USE THE HAND,youtube,
number 4: doxx them,youtube,
Youtube is doing the cyberbullying.,youtube,
Or threaten to shoot the house up,youtube,
Number one turn off your phone,youtube,
"sorry mike, but this isnt a validated solution to my problem.",youtube,
If your ever getting cyber bullied do this <br>-block there ahh from existence,youtube,
Хочу чтоб они сдохли,youtube,
Ask them random questions to explode their brain and RAGE QUIT remember this word its hunter gets hunted,youtube,
No one talking about the snoop dog,youtube,
Law by a stupid monkey,youtube,
"Make sure your law firm isn&#39;t the last to get into BCI terrorism lawsuits, DARPA with their military grade N3 our experimenting on our citizens people like Elon are selling technology to the elites to watch The matrix inside their minds, I&#39;ve been hit with this technology and can&#39;t wait for a lawyer like you to start a lawsuit against some of the richest idiots in this country.",youtube,
Hello it&#39;s my first time commenting pls can you teach me how to protect my self in April 24,youtube,
block turn off phone,youtube,
&quot;Cyberbullying&quot; huh? That&#39;s some fake ΒЅ.,youtube,
Number 1 turn off the device 🫩🥀,youtube,
Pls help me win against thomers😢😢😭😭,youtube,
If i was getting bullied i will just pretend the bullies aren&#39;t even here i don&#39;t care if they call me blind or deaf i will just say. Who is talking to me,youtube,
If your being cyberbuleing just put on no desterb mode on,youtube,
"YouTube does zero, zip, nada, nothing",youtube,
&quot;Screenshot everything&quot;<br>Snapchat:,youtube,
Free roblox🫩,youtube,
#1 turn off ur phone,youtube,
We got cryber bully in our school and they went to far but the teacher didn&#39;t figure who was he cyber bully,youtube,
This is my last time I’m doing violence against a Cyberbully,youtube,
Some mfs are gonna be like “lil bro it ain’t that serious just out the phone down 💔💔💔💔💀💀💀💀💀💀💀🥀🥀🥀🥀🥀🫩🫩🫩🫩🫩✌️✌️✌️,youtube,
This will teach the victims to do this instead of jumping of a 50 story building,youtube,
I sued a 12 year old for this,youtube,
"If you’re being cyber bully, do this number one block",youtube,
It&#39;s vrkats,youtube,
We do against bullying 🫡🇭🇺,youtube,
Step 1. Block them<br>Step 2. Continue with life,youtube,
The entire internet nowadays,youtube,
I have a lot of bullies in my YouTube channel comments 😢😢😢😢😢😢😢<br>I’m only 9,youtube,
the cyber bullying doesn&#39;t get banned in Roblox bro🎋,youtube,
Lived in Los Angeles for 14 years. Never dealt with bully. Just colored people crushing over Chris Pratt.,youtube,
"The problem with blocking them is that they get so addicted to the target of their abuse.They just keep making more fake accounts and are racing them from several accounts.Claire hunt on her workplace.Use channel says that bullies get addicted to bullying, and they get addicted to the target.It&#39;s a sick obsession mike",youtube,
&quot;If your being cyberbullied&quot; Demand a retrial,youtube,
I have a friend who was sent corn. And the cyber bully (not listing name) is impersonating the victim. (Not listing name),youtube,
How to end cyber bullying:<br>Step 1: leak his address on the internet<br>Step 2: get him an good ol’ African parent woopin,youtube,
yes i actually do. since 1st of march. guys here’s the account. what she said abt me was lowkey fake. i just talked asked for opinions and boom i get judged. here’s the account pls help me<br>@melazinee<br>the people who also commented r my cyber bullies as well. they over exaggerate pls say smth i rlly need help,youtube,
What about when it comes to groupchats?,youtube,
"Sadly, I became a victim of cyberbullying. One time, a very rude YouTuber insulted my friend Snowflake and made fun of her name. She said &quot;Why the so weird Snowflake&quot; I made a comment telling her if she has a problem, then she has to take her drama somewhere else. Then I blocked her and reported her to YouTube because I was defending my friends.",youtube,
2026 here from the future to say This isn’t catfishing or cyber bullying this was straight sexual abuse,youtube,
"99% of the comments: &quot;That’s catfishing, not cyberbullying.&quot;<br>Well, they did do some mean stuff while doing that, so they technically were cyberbullying...",youtube,
That didnt look like cyber bullying,youtube,
WHY WOULD ANYONE ROLEPLAY AS THIS &quot;JASON&quot; GUY?!,youtube,
"<a href=""https://www.youtube.com/watch?v=0YpA7JGRC-0&amp;t=74"">1:14</a> I can sorta see Roxie&#39;s left gluteal sulcas.  Although the dresser is hiding her butt.  I&#39;d have let it show her butt.",youtube,
Oh dear gosh,youtube,
This is exactly what happened in the movie “disconnect”,youtube,
Who&#39;s watching this in December 2025??,youtube,
"That girl doesnt deserve sympathy, she chose to send those pics, that like blaming a car driver for hitting someone that ran on the highway in the middle of the night instead of blaming the person that got hit.",youtube,
That’s so sad man like I feel bad for that lil girl i could cry,youtube,
"What these girls did was unacceptable, cruel and downright disgusting. I hope they learned their lesson.",youtube,
I have a dude named Jathan from my school,youtube,
Is it cyber bullying to on acutane and get papsmear?.,youtube,
BAHAHAHAH I LAUGHED TOO,youtube,
That’s catfish,youtube,
How come you got grounded?You didn&#39;t do anything.<br>I mean it was your friend&#39;s idea all long.,youtube,
"<a href=""https://www.youtube.com/watch?v=0YpA7JGRC-0&amp;t=74"">1:14</a> is no one is calling this out that this was child corn.",youtube,
Your friend better be lucky she didn’t go to jail,youtube,
